protein;gene
Q09666;AHNAK
P02768;ALB
P04083;ANXA1
P50995;ANXA11
P07355;ANXA2
P04114;APOB
P61769;B2M
P27797;CALR
P27824;CANX
Q3V6T2;CCDC88A
P68104;EEF1A1
Q04637;EIF4G1
P06733;ENO1
P49327;FASN
P02751;FN1
P07305;H1F0
P05204;HMGN2
P09651;HNRNPA1
P22626;HNRNPA2B1
Q99729;HNRNPAB
Q14103;HNRNPD
P08238;HSP90AB1
P14625;HSP90B1
P11021;HSPA5
P04792;HSPB1
P10809;HSPD1
Q9BYX4;IFIH1
P01584;IL1B
P08514;ITGA2B
P13796;LCP1
P02545;LMNA
P14780;MMP9
Q9UBU8;MORF4L1
P05164;MPO
P06748;NPM1
P09874;PARP1
P00558;PGK1
P06454;PTMA
P38159;RBMX
Q02878;RPL6
P05388;RPLP0
P05387;RPLP2
P62277;RPS13
Q15019;SEPT2
P05121;SERPINE1
P16150;SPN
P10451;SPP1
Q13501;SQSTM1
P02787;TF
P60174;TPI1
Q9UPN9;TRIM33
P08670;VIM
P67809;YBX1
